"ItemSet (B_Max, B_Meal, Insulin Bolus)",Frequency
"('Bin_6', 'Bin_5', 1)",7
"('Bin_8', 'Bin_3', 6)",6
"('Bin_8', 'Bin_4', 2)",6
"('Bin_11', 'Bin_11', 3)",6
"('Bin_6', 'Bin_3', 2)",5
"('Bin_7', 'Bin_5', 3)",5
"('Bin_6', 'Bin_5', 2)",5
"('Bin_7', 'Bin_6', 1)",4
"('Bin_7', 'Bin_5', 1)",4
"('Bin_8', 'Bin_3', 4)",4
"('Bin_7', 'Bin_2', 4)",4
"('Bin_9', 'Bin_7', 8)",3
"('Bin_7', 'Bin_3', 8)",3
"('Bin_10', 'Bin_10', 1)",3
"('Bin_9', 'Bin_5', 2)",3
"('Bin_10', 'Bin_4', 2)",3
"('Bin_5', 'Bin_3', 6)",3
"('Bin_7', 'Bin_4', 2)",3
"('Bin_4', 'Bin_4', 3)",3
"('Bin_7', 'Bin_2', 2)",3
"('Bin_5', 'Bin_2', 3)",3
"('Bin_5', 'Bin_4', 1)",3
"('Bin_6', 'Bin_3', 6)",3
"('Bin_9', 'Bin_6', 3)",3
"('Bin_8', 'Bin_6', 7)",3
"('Bin_9', 'Bin_3', 2)",3
"('Bin_10', 'Bin_9', 4)",3
"('Bin_7', 'Bin_5', 7)",3
"('Bin_11', 'Bin_10', 2)",3
"('Bin_8', 'Bin_7', 1)",3
"('Bin_8', 'Bin_5', 3)",3
"('Bin_12', 'Bin_11', 6)",3
"('Bin_5', 'Bin_3', 2)",3
"('Bin_11', 'Bin_11', 2)",3
"('Bin_6', 'Bin_2', 3)",3
"('Bin_2', 'Bin_1', 6)",3
"('Bin_11', 'Bin_11', 1)",3
"('Bin_9', 'Bin_9', 2)",3
"('Bin_8', 'Bin_4', 4)",3
"('Bin_7', 'Bin_7', 1)",3
"('Bin_4', 'Bin_2', 6)",2
"('Bin_4', 'Bin_4', 2)",2
"('Bin_7', 'Bin_3', 2)",2
"('Bin_8', 'Bin_6', 3)",2
"('Bin_10', 'Bin_5', 2)",2
"('Bin_10', 'Bin_3', 7)",2
"('Bin_10', 'Bin_4', 5)",2
"('Bin_11', 'Bin_9', 3)",2
"('Bin_12', 'Bin_11', 2)",2
"('Bin_10', 'Bin_8', 2)",2
"('Bin_8', 'Bin_4', 6)",2
"('Bin_8', 'Bin_7', 3)",2
"('Bin_9', 'Bin_3', 6)",2
"('Bin_9', 'Bin_9', 1)",2
"('Bin_5', 'Bin_4', 8)",2
"('Bin_4', 'Bin_3', 2)",2
"('Bin_14', 'Bin_8', 4)",2
"('Bin_7', 'Bin_4', 4)",2
"('Bin_10', 'Bin_10', 2)",2
"('Bin_6', 'Bin_1', 1)",2
"('Bin_5', 'Bin_3', 9)",2
"('Bin_9', 'Bin_4', 2)",2
"('Bin_8', 'Bin_2', 3)",2
"('Bin_9', 'Bin_8', 5)",2
"('Bin_12', 'Bin_11', 7)",2
"('Bin_9', 'Bin_7', 4)",2
"('Bin_5', 'Bin_3', 1)",2
"('Bin_7', 'Bin_3', 3)",2
"('Bin_10', 'Bin_3', 3)",2
"('Bin_9', 'Bin_7', 3)",2
"('Bin_7', 'Bin_6', 2)",2
"('Bin_11', 'Bin_10', 4)",2
"('Bin_13', 'Bin_10', 10)",2
"('Bin_12', 'Bin_11', 5)",2
"('Bin_5', 'Bin_5', 2)",2
"('Bin_9', 'Bin_8', 10)",2
"('Bin_12', 'Bin_5', 4)",2
"('Bin_7', 'Bin_6', 5)",2
"('Bin_10', 'Bin_8', 5)",2
"('Bin_9', 'Bin_6', 1)",2
"('Bin_9', 'Bin_7', 7)",2
"('Bin_12', 'Bin_11', 4)",2
"('Bin_7', 'Bin_7', 2)",2
"('Bin_11', 'Bin_10', 7)",2
"('Bin_9', 'Bin_5', 3)",2
"('Bin_10', 'Bin_7', 3)",2
"('Bin_5', 'Bin_3', 3)",2
"('Bin_6', 'Bin_2', 7)",2
"('Bin_12', 'Bin_11', 3)",2
"('Bin_6', 'Bin_4', 8)",2
"('Bin_7', 'Bin_5', 5)",2
"('Bin_7', 'Bin_7', 3)",2
"('Bin_6', 'Bin_5', 6)",2
"('Bin_8', 'Bin_8', 6)",2
"('Bin_9', 'Bin_4', 5)",2
"('Bin_7', 'Bin_2', 6)",2
"('Bin_9', 'Bin_6', 4)",2
"('Bin_7', 'Bin_4', 7)",2
"('Bin_7', 'Bin_4', 5)",2
"('Bin_8', 'Bin_2', 7)",2
"('Bin_8', 'Bin_6', 2)",2
"('Bin_5', 'Bin_3', 7)",2
"('Bin_10', 'Bin_3', 9)",2
"('Bin_6', 'Bin_4', 2)",2
"('Bin_8', 'Bin_6', 4)",2
"('Bin_4', 'Bin_2', 3)",2
"('Bin_8', 'Bin_3', 5)",2
"('Bin_8', 'Bin_6', 6)",2
"('Bin_6', 'Bin_2', 1)",2
"('Bin_8', 'Bin_7', 7)",2
"('Bin_7', 'Bin_5', 2)",2
"('Bin_6', 'Bin_4', 1)",2
"('Bin_10', 'Bin_7', 2)",2
"('Bin_12', 'Bin_11', 1)",2
"('Bin_11', 'Bin_11', 4)",2
"('Bin_6', 'Bin_2', 5)",2
"('Bin_9', 'Bin_8', 3)",2
"('Bin_6', 'Bin_6', 1)",2
