"Rule [{B_Max, B_Meal} -> I_B]",Confidence
"(Bin_11,Bin_8) -> 3",14.285714285714285
"(Bin_10,Bin_10) -> 6",14.285714285714285
"(Bin_5,Bin_5) -> 3",14.285714285714285
"(Bin_10,Bin_5) -> 5",14.285714285714285
"(Bin_5,Bin_5) -> 7",14.285714285714285
"(Bin_5,Bin_5) -> 4",14.285714285714285
"(Bin_11,Bin_8) -> 2",14.285714285714285
"(Bin_10,Bin_5) -> 6",14.285714285714285
"(Bin_11,Bin_8) -> 5",14.285714285714285
"(Bin_4,Bin_2) -> 12",14.285714285714285
"(Bin_9,Bin_9) -> 10",14.285714285714285
"(Bin_10,Bin_10) -> 5",14.285714285714285
"(Bin_10,Bin_5) -> 7",14.285714285714285
"(Bin_10,Bin_5) -> 13",14.285714285714285
"(Bin_5,Bin_5) -> 0",14.285714285714285
"(Bin_5,Bin_5) -> 8",14.285714285714285
"(Bin_8,Bin_3) -> 5",14.285714285714285
"(Bin_11,Bin_8) -> 1",14.285714285714285
"(Bin_4,Bin_2) -> 2",14.285714285714285
"(Bin_11,Bin_8) -> 4",14.285714285714285
"(Bin_4,Bin_2) -> 4",14.285714285714285
"(Bin_9,Bin_9) -> 4",14.285714285714285
"(Bin_11,Bin_8) -> 6",14.285714285714285
"(Bin_11,Bin_8) -> 9",14.285714285714285
"(Bin_10,Bin_5) -> 9",14.285714285714285
"(Bin_12,Bin_11) -> 2",13.333333333333334
"(Bin_12,Bin_11) -> 7",13.333333333333334
"(Bin_12,Bin_11) -> 5",13.333333333333334
"(Bin_12,Bin_11) -> 4",13.333333333333334
"(Bin_12,Bin_11) -> 3",13.333333333333334
"(Bin_12,Bin_11) -> 1",13.333333333333334
"(Bin_10,Bin_8) -> 7",12.5
"(Bin_10,Bin_8) -> 8",12.5
"(Bin_9,Bin_3) -> 4",12.5
"(Bin_8,Bin_4) -> 6",12.5
"(Bin_10,Bin_8) -> 6",12.5
"(Bin_9,Bin_3) -> 3",12.5
"(Bin_9,Bin_3) -> 13",12.5
"(Bin_10,Bin_3) -> 6",12.5
"(Bin_10,Bin_3) -> 2",12.5
"(Bin_10,Bin_8) -> 4",12.5
"(Bin_5,Bin_3) -> 9",11.76470588235294
"(Bin_5,Bin_3) -> 1",11.76470588235294
"(Bin_5,Bin_3) -> 3",11.76470588235294
"(Bin_5,Bin_3) -> 7",11.76470588235294
"(Bin_6,Bin_4) -> 3",11.11111111111111
"(Bin_4,Bin_4) -> 4",11.11111111111111
"(Bin_4,Bin_4) -> 8",11.11111111111111
"(Bin_4,Bin_4) -> 5",11.11111111111111
"(Bin_6,Bin_4) -> 5",11.11111111111111
"(Bin_6,Bin_4) -> 10",11.11111111111111
"(Bin_9,Bin_5) -> 1",11.11111111111111
"(Bin_7,Bin_5) -> 5",11.11111111111111
"(Bin_5,Bin_4) -> 3",11.11111111111111
"(Bin_9,Bin_5) -> 8",11.11111111111111
"(Bin_9,Bin_5) -> 9",11.11111111111111
"(Bin_4,Bin_4) -> 7",11.11111111111111
"(Bin_5,Bin_4) -> 6",11.11111111111111
"(Bin_5,Bin_4) -> 9",11.11111111111111
"(Bin_7,Bin_5) -> 2",11.11111111111111
"(Bin_9,Bin_5) -> 4",11.11111111111111
"(Bin_11,Bin_10) -> 6",11.11111111111111
"(Bin_11,Bin_11) -> 4",11.11111111111111
"(Bin_5,Bin_4) -> 0",11.11111111111111
"(Bin_11,Bin_10) -> 5",11.11111111111111
"(Bin_6,Bin_5) -> 6",10.526315789473683
"(Bin_8,Bin_7) -> 13",10.0
"(Bin_9,Bin_6) -> 10",10.0
"(Bin_5,Bin_2) -> 8",10.0
"(Bin_5,Bin_2) -> 4",10.0
"(Bin_9,Bin_6) -> 16",10.0
"(Bin_9,Bin_7) -> 6",10.0
"(Bin_5,Bin_2) -> 10",10.0
"(Bin_8,Bin_7) -> 8",10.0
"(Bin_9,Bin_8) -> 4",10.0
"(Bin_5,Bin_2) -> 7",10.0
"(Bin_9,Bin_6) -> 9",10.0
"(Bin_5,Bin_2) -> 2",10.0
"(Bin_9,Bin_8) -> 2",10.0
"(Bin_5,Bin_2) -> 9",10.0
"(Bin_5,Bin_2) -> 5",10.0
"(Bin_9,Bin_8) -> 1",10.0
"(Bin_9,Bin_8) -> 6",10.0
"(Bin_8,Bin_7) -> 2",10.0
"(Bin_7,Bin_2) -> 1",9.090909090909092
"(Bin_9,Bin_4) -> 4",9.090909090909092
"(Bin_7,Bin_3) -> 4",9.090909090909092
"(Bin_7,Bin_3) -> 13",9.090909090909092
"(Bin_7,Bin_3) -> 10",9.090909090909092
"(Bin_9,Bin_4) -> 10",9.090909090909092
"(Bin_7,Bin_6) -> 7",9.090909090909092
"(Bin_9,Bin_4) -> 8",9.090909090909092
"(Bin_9,Bin_4) -> 6",9.090909090909092
"(Bin_9,Bin_4) -> 9",9.090909090909092
"(Bin_6,Bin_3) -> 5",9.090909090909092
"(Bin_7,Bin_6) -> 3",9.090909090909092
"(Bin_6,Bin_3) -> 3",9.090909090909092
"(Bin_9,Bin_4) -> 3",9.090909090909092
"(Bin_7,Bin_6) -> 10",9.090909090909092
"(Bin_6,Bin_3) -> 1",9.090909090909092
"(Bin_7,Bin_2) -> 3",9.090909090909092
"(Bin_7,Bin_3) -> 7",9.090909090909092
"(Bin_9,Bin_4) -> 1",9.090909090909092
"(Bin_7,Bin_4) -> 6",8.333333333333332
"(Bin_7,Bin_4) -> 9",8.333333333333332
"(Bin_7,Bin_4) -> 1",8.333333333333332
"(Bin_8,Bin_6) -> 5",8.333333333333332
"(Bin_6,Bin_2) -> 2",8.333333333333332
"(Bin_6,Bin_2) -> 4",8.333333333333332
"(Bin_6,Bin_2) -> 6",8.333333333333332
"(Bin_8,Bin_3) -> 2",7.142857142857142
"(Bin_8,Bin_3) -> 8",7.142857142857142
"(Bin_8,Bin_4) -> 12",6.25
"(Bin_8,Bin_4) -> 5",6.25
"(Bin_8,Bin_4) -> 10",6.25
"(Bin_8,Bin_4) -> 1",6.25
"(Bin_8,Bin_4) -> 9",6.25
"(Bin_5,Bin_3) -> 5",5.88235294117647
"(Bin_5,Bin_3) -> 11",5.88235294117647
"(Bin_5,Bin_3) -> 4",5.88235294117647
"(Bin_11,Bin_11) -> 7",5.555555555555555
"(Bin_7,Bin_5) -> 6",5.555555555555555
"(Bin_11,Bin_11) -> 11",5.555555555555555
"(Bin_11,Bin_11) -> 9",5.555555555555555
"(Bin_11,Bin_11) -> 0",5.555555555555555
"(Bin_7,Bin_5) -> 12",5.555555555555555
