"Rule [{B_Max, B_Meal} -> I_B]",Confidence
"(Bin_3,Bin_3) -> 5",100.0
"(Bin_16,Bin_4) -> 4",100.0
"(Bin_13,Bin_7) -> 4",100.0
"(Bin_14,Bin_8) -> 4",100.0
"(Bin_15,Bin_0) -> 2",100.0
"(Bin_16,Bin_9) -> 8",100.0
"(Bin_17,Bin_17) -> 3",100.0
"(Bin_17,Bin_7) -> 10",100.0
"(Bin_13,Bin_8) -> 6",100.0
"(Bin_17,Bin_14) -> 11",100.0
"(Bin_14,Bin_6) -> 4",100.0
"(Bin_10,Bin_0) -> 5",100.0
"(Bin_11,Bin_0) -> 3",100.0
"(Bin_15,Bin_13) -> 2",100.0
"(Bin_13,Bin_5) -> 4",100.0
"(Bin_3,Bin_0) -> 8",100.0
"(Bin_16,Bin_16) -> 2",100.0
"(Bin_14,Bin_13) -> 5",100.0
"(Bin_2,Bin_0) -> 1",100.0
"(Bin_12,Bin_7) -> 10",100.0
"(Bin_2,Bin_2) -> 1",100.0
"(Bin_7,Bin_1) -> 2",100.0
"(Bin_8,Bin_0) -> 9",100.0
"(Bin_14,Bin_10) -> 6",100.0
